S.No,Gene Product,Gene (Common Name),Gene ID,Included in Training Set 1,Included in Training Set 2,Drug,Reference
51,Formate-nitrite transporter,FNT,PF3D7_0316600,Yes,Yes,"MMV007839, MMV000972","Hapuarachchi, Sanduni V et al. “The Malaria Parasite's Lactate Transporter PfFNT Is the Target of Antiplasmodial Compounds Identified in Whole Cell Phenotypic Screens.” PLoS pathogens vol. 13,2 e1006180. 8 Feb. 2017, doi:10.1371/journal.ppat.1006180
Davies, Heledd et al. “The Plasmodium Lactate/H+ Transporter PfFNT Is Essential and Druggable In Vivo.” Antimicrobial agents and chemotherapy vol. 67,8 (2023): e0035623. doi:10.1128/aac.00356-23
Cheuka, Peter Mubanga et al. “Emerging Drug Targets for Antimalarial Drug Discovery: Validation and Insights into Molecular Mechanisms of Function.” Journal of medicinal chemistry vol. 67,2 (2024): 838-863. doi:10.1021/acs.jmedchem.3c01828"
52,beta-hydroxyacyl-ACP dehydratase,Fab Z ,PF3D7_1323000,Yes,Yes,NAS-91 [1],"[1] Sharma, Shailendra Kumar et al. “Identification, characterization, and inhibition of Plasmodium falciparum beta-hydroxyacyl-acyl carrier protein dehydratase (FabZ).” The Journal of biological chemistry vol. 278,46 (2003): 45661-71. doi:10.1074/jbc.M304283200
Tasdemir, Deniz, et al. ""Inhibition of Plasmodium f alciparum fatty acid biosynthesis: evaluation of FabG, FabZ, and FabI as drug targets for flavonoids."" Journal of medicinal chemistry 49.11 (2006): 3345-3353.
Maity, Koustav, et al. ""Structural basis for the functional and inhibitory mechanisms of β-hydroxyacyl-acyl carrier protein dehydratase (FabZ) of Plasmodium falciparum."" Journal of structural biology 176.2 (2011): 238-249."
53,START lipid transfer protein,START1,PF3D7_0104200,Yes,Yes,MMV006833,"Dans, Madeline G et al. “Aryl amino acetamides prevent Plasmodium falciparum ring development via targeting the lipid-transfer protein PfSTART1.” Nature communications vol. 15,1 5219. 18 Jun. 2024, doi:10.1038/s41467-024-49491-8
Hill, Ross J et al. “Regulation and Essentiality of the StAR-related Lipid Transfer (START) Domain-containing Phospholipid Transfer Protein PFA0210c in Malaria Parasites.” The Journal of biological chemistry vol. 291,46 (2016): 24280-24292. doi:10.1074/jbc.M116.740506
Nguyen, William, et al. ""Activity refinement of aryl amino acetamides that target the P. falciparum STAR-related lipid transfer 1 protein."" European Journal of Medicinal Chemistry 270 (2024): 116354."
54,DNA damage inducible 1 protein,DDI1,PF3D7_1409300,Yes,Yes,ART,"Tanneru, Nandita et al. “Plasmodium DDI1 is a potential therapeutic target and important chromatin-associated protein.” International journal for parasitology vol. 53,3 (2023): 157-175. doi:10.1016/j.ijpara.2022.11.007
Onchieku, Noah Machuki et al. “Artemisinin Binds and Inhibits the Activity of Plasmodium falciparum Ddi1, a Retroviral Aspartyl Protease.” Pathogens (Basel, Switzerland) vol. 10,11 1465. 11 Nov. 2021, doi:10.3390/pathogens10111465
Onchieku, Noah Machuki, et al. ""Artemisinin acts by inhibiting Plasmodium falciparum Ddi1, a retropepsin, resulting into the accumulation of ubiquitinated proteins."" bioRxiv (2021): 2021-07."
55,Parasitophorous vacuole membrane protein S16,Pfs16,PF3D7_0406200,Yes,Yes,DDD01035881,"Yahiya, Sabrina et al. “A novel class of sulphonamides potently block malaria transmission by targeting a Plasmodium vacuole membrane protein.” Disease models & mechanisms vol. 16,2 (2023): dmm049950. doi:10.1242/dmm.049950
Yahiya, Sabrina, et al. ""Plasmodium falciparum protein Pfs16 is a target for transmission-blocking antimalarial drug development."" BioRxiv (2021): 2021-06.
Berry, Antoine, et al. ""Pfs 16 pivotal role in Plasmodium falciparum gametocytogenesis: a potential antiplasmodial drug target."" Experimental Parasitology 121.2 (2009): 189-192."
56,Histone acetyltransferase GCN5,GCN5,PF3D7_0823300,Yes,Yes,"C14 [1]
Anacardic acid [2]
Curcumin [3]
Embelin [4]","[1] Kumar, Amarjeet et al. “Designing novel inhibitors against histone acetyltransferase (HAT: GCN5) of Plasmodium falciparum.” European journal of medicinal chemistry vol. 138 (2017): 26-37. doi:10.1016/j.ejmech.2017.06.009
[2] Cui, Long et al. “Histone acetyltransferase inhibitor anacardic acid causes changes in global gene expression during in vitro Plasmodium falciparum development.” Eukaryotic cell vol. 7,7 (2008): 1200-10. doi:10.1128/EC.00063-08
[3] Cui, Long et al. “Cytotoxic effect of curcumin on malaria parasite Plasmodium falciparum: inhibition of histone acetylation and generation of reactive oxygen species.” Antimicrobial agents and chemotherapy vol. 51,2 (2007): 488-94. doi:10.1128/AAC.01238-06
[4] Srivastava, Sandeep et al. “Histone H3K9 acetylation level modulates gene expression and may affect parasite growth in human malaria parasite Plasmodium falciparum.” The FEBS journal vol. 281,23 (2014): 5265-78. doi:10.1111/febs.13067"
57,Pyridoxine biosynthesis protein 1,PDX1,PF3D7_0621200,Yes,Yes,"E4P [1]
4PEHz [2]
DATP 18 [3]","[1,2] Reeksting, Shaun B et al. “Exploring inhibition of Pdx1, a component of the PLP synthase complex of the human malaria parasite Plasmodium falciparum.” The Biochemical journal vol. 449,1 (2013): 175-87. doi:10.1042/BJ20120925
[3] Moorthy, Hariharan et al. “Antiplasmodial and Antimalarial Activity of 3,5-Diarylidenetetrahydro-2H-pyran-4(3H)-ones via Inhibition of Plasmodium falciparum Pyridoxal Synthase.” ChemMedChem vol. 18,1 (2023): e202200411. doi:10.1002/cmdc.202200411
Barra, Angélica Luana C et al. “Structural Dynamics and Perspectives of Vitamin B6 Biosynthesis Enzymes in Plasmodium: Advances and Open Questions.” Frontiers in cellular and infection microbiology vol. 11 688380. 13 Jul. 2021, doi:10.3389/fcimb.2021.688380"
58,Heme detoxification protein,HDP,PF3D7_1446800,Yes,Yes,"Compound 8 [1]
Compound 8b [2]","[1] Gupta, Priya et al. “Exploring Heme and Hemoglobin Binding Regions of Plasmodium Heme Detoxification Protein for New Antimalarial Discovery.” Journal of medicinal chemistry vol. 60,20 (2017): 8298-8308. doi:10.1021/acs.jmedchem.7b00089
[2] Sakata Y, Yabunaka K, Kobayashi Y, Omiya H, Umezawa N, Kim HS, Wataya Y, Tomita Y, Hisamatsu Y, Kato N, Yagi H, Satoh T, Kato K, Ishikawa H, Higuchi T. Potent Antimalarial Activity of Two Arenes Linked with Triamine Designed To Have Multiple Interactions with Heme. ACS Med Chem Lett. 2018 Sep 24;9(10):980-985. doi: 10.1021/acsmedchemlett.8b00222. PMID: 30344903; PMCID: PMC6187406.
Nema S, Chaturvedi R, Verma K, Anvikar AR, Tiwari A, Bharti PK. A computational strategy for systematic virtual screening of plasmodium falciparum heme detoxification protein inhibitors from the Drugbank database. J Biomol Struct Dyn. 2025 Apr;43(6):3156-3171. doi: 10.1080/07391102.2023.2301510. Epub 2024 Jan 10. PMID: 38197419."
59,Falcilysin,FLN,PF3D7_1360800,Yes,Yes,"Compound 4u [1]
MK-4815 [2]
MMV000848, MMV665806 [3]
ZN-11, NC-05 [4]","[1] Chance, Jeffrey P et al. “Development of piperazine-based hydroxamic acid inhibitors against falcilysin, an essential malarial protease.” Bioorganic & medicinal chemistry letters vol. 28,10 (2018): 1846-1848. doi:10.1016/j.bmcl.2018.04.010
[2] Lin J, Yan X, Chung Z, Liew CW, El Sahili A, Pechnikova EV, Preiser PR, Bozdech Z, Gao YG, Lescar J. Inhibition of falcilysin from Plasmodium falciparum by interference with its closed-to-open dynamic transition. Commun Biol. 2024 Aug 31;7(1):1070. doi: 10.1038/s42003-024-06774-6. PMID: 39217277; PMCID: PMC11365994.
[3] Wirjanata G, Lin J, Dziekan JM, El Sahili A, Chung Z, Tjia S, Binte Zulkifli NE, Boentoro J, Tham R, Jia LS, Go KD, Yu H, Partridge A, Olsen D, Prabhu N, Sobota RM, Nordlund P, Lescar J, Bozdech Z. Identification of an inhibitory pocket in falcilysin provides a new avenue for malaria drug development. Cell Chem Biol. 2024 Apr 18;31(4):743-759.e8. doi: 10.1016/j.chembiol.2024.03.002. Epub 2024 Apr 8. PMID: 38593807.
[4] Eagon S, Howland M, Heying M, Callant E, Brar N, Pompa E, Mallari JP. Identification of Plasmodium falciparum falcilysin inhibitors by a virtual screen. Bioorg Med Chem Lett. 2021 Nov 15;52:128394. doi: 10.1016/j.bmcl.2021.128394. Epub 2021 Oct 1. PMID: 34606998.
Kahlon, Gulbag et al. “Structure guided development of potent piperazine-derived hydroxamic acid inhibitors targeting falcilysin.” Bioorganic & medicinal chemistry letters vol. 32 (2021): 127683. doi:10.1016/j.bmcl.2020.127683"
60,Arginase,Arg,PF3D7_0906500,Yes,Yes,"2-amino-6-borono-2-methylhexanoic acid [1]
Compounds 1r, 1q [2]
ABH [3]","[1,3] Ilies, Monica et al. “Binding of α,α-disubstituted amino acids to arginase suggests new avenues for inhibitor design.” Journal of medicinal chemistry vol. 54,15 (2011): 5432-43. doi:10.1021/jm200443b
[2] Kos J, Strharsky T, Tosso R, Gutierrez L, Kos D, Jurica J, Zendulka O, Pes O, Gregorova J, Degotte G, Gonec T, Oravec M, Vojackova V, Krystof V, Cizek A, Francotte P, Frederich M, Jampilek J, Enriz D. Trifluoromethylcinnamanilides - Effective dual inhibitors of Mycobacterium smegmatis and Plasmodium falciparum. Bioorg Chem. 2025 Jan;154:107957. doi: 10.1016/j.bioorg.2024.107957. Epub 2024 Nov 19. PMID: 39615279.
[3] Dowling DP, Ilies M, Olszewski KL, Portugal S, Mota MM, Llinás M, Christianson DW. Crystal structure of arginase from Plasmodium falciparum and implications for L-arginine depletion in malarial infection . Biochemistry. 2010 Jul 6;49(26):5600-8. doi: 10.1021/bi100390z. PMID: 20527960; PMCID: PMC2894275.
Bak A, Kos J, Degotte G, Swietlicka A, Strharsky T, Pindjakova D, Gonec T, Smolinski A, Francotte P, Frederich M, Kozik V, Jampilek J. Towards Arginase Inhibition: Hybrid SAR Protocol for Property Mapping of Chlorinated N-arylcinnamamides. Int J Mol Sci. 2023 Feb 10;24(4):3611. doi: 10.3390/ijms24043611. PMID: 36835023; PMCID: PMC9968098."
61,Deoxyhypusine synthase,DHS,PF3D7_1412600,Yes,Yes,"1,7-diaminoheptane [1]
GC7 [2]","[1] Kaiser A, Gottwald A, Wiersch C, Lindenthal B, Maier W, Seitz HM. Effect of drugs inhibiting spermidine biosynthesis and metabolism on the in vitro development of Plasmodium falciparum. Parasitol Res. 2001 Nov;87(11):963-72. doi: 10.1007/s004360100460. PMID: 11728024.
[2] Aroonsri A, Posayapisit N, Kongsee J, Siripan O, Vitsupakorn D, Utaida S, Uthaipibull C, Kamchonwongpaisan S, Shaw PJ. Validation of Plasmodium falciparum deoxyhypusine synthase as an antimalarial target. PeerJ. 2019 Apr 17;7:e6713. doi: 10.7717/peerj.6713. PMID: 31024761; PMCID: PMC6475138.
Aroonsri A, Posayapisit N, Kongsee J, Siripan O, Vitsupakorn D, Utaida S, Uthaipibull C, Kamchonwongpaisan S, Shaw PJ. Validation of Plasmodium falciparum deoxyhypusine synthase as an antimalarial target. PeerJ. 2019 Apr 17;7:e6713. doi: 10.7717/peerj.6713. PMID: 31024761; PMCID: PMC6475138.
Kaiser, Annette et al. “Modification of eukaryotic initiation factor 5A from Plasmodium vivax by a truncated deoxyhypusine synthase from Plasmodium falciparum: An enzyme with dual enzymatic properties.” Bioorganic & medicinal chemistry vol. 15,18 (2007): 6200-7. doi:10.1016/j.bmc.2007.06.026"
62,Peptide deformylase,PDF,PF3D7_0907900,Yes,Yes,"Compound I [1]
Actinonin [2]
Compound 1b [3]","[1] Bracchi-Ricard, V et al. “Characterization of an eukaryotic peptide deformylase from Plasmodium falciparum.” Archives of biochemistry and biophysics vol. 396,2 (2001): 162-70. doi:10.1006/abbi.2001.2631
[2] Wiesner, J et al. “Seeking new targets for antiparasitic agents.” Trends in parasitology vol. 17,1 (2001): 7-8. doi:10.1016/s1471-4922(00)01735-9
[3] Kumar, Abhinav et al. “Crystals of peptide deformylase from Plasmodium falciparum reveal critical characteristics of the active site for drug design.” Structure (London, England : 1993) vol. 10,3 (2002): 357-67. doi:10.1016/s0969-2126(02)00719-0
Sangshetti, Jaiprakash N et al. “Peptide deformylase: a new target in antibacterial, antimalarial and anticancer drug discovery.” Current medicinal chemistry vol. 22,2 (2015): 214-36. doi:10.2174/0929867321666140826115734"
63,Topoisomerase I,TopoI,PF3D7_0510500,Yes,Yes,"LQB223 [1]
Camptothecin [2]","[1] Cortopassi, Wilian A et al. “Theoretical and experimental studies of new modified isoflavonoids as potential inhibitors of topoisomerase I from Plasmodium falciparum.” PloS one vol. 9,3 e91191. 20 Mar. 2014, doi:10.1371/journal.pone.0091191
[2] Bodley, A L et al. “Effects of camptothecin, a topoisomerase I inhibitor, on Plasmodium falciparum.” Biochemical pharmacology vol. 55,5 (1998): 709-11. doi:10.1016/s0006-2952(97)00556-x
Tosh, K et al. “Plasmodium falciparum: stage-related expression of topoisomerase I.” Experimental parasitology vol. 91,2 (1999): 126-32. doi:10.1006/expr.1998.4362"
64,Protein kinase 5,PK5,PF3D7_1356900,Yes,Yes,"Compound 2b [1]
Olomoucine, Flavopiridol [2]","[1] Eubanks, Amber L et al. “In silico Screening and Evaluation of Plasmodium falciparum Protein Kinase 5 (PK5) Inhibitors.” ChemMedChem vol. 13,23 (2018): 2479-2483. doi:10.1002/cmdc.201800625
[2] Graeser, R et al. “Plasmodium falciparum protein kinase 5 and the malarial nuclear division cycles.” Molecular and biochemical parasitology vol. 82,1 (1996): 37-49. doi:10.1016/0166-6851(96)02716-8
Keenan, Susan M, and William J Welsh. “Characteristics of the Plasmodium falciparum PK5 ATP-binding site: implications for the design of novel antimalarial agents.” Journal of molecular graphics & modelling vol. 22,3 (2004): 241-7. doi:10.1016/j.jmgm.2003.09.002
Le Roch, K et al. “Activation of a Plasmodium falciparum cdc2-related kinase by heterologous p25 and cyclin H. Functional characterization of a P. falciparum cyclin homologue.” The Journal of biological chemistry vol. 275,12 (2000): 8952-8. doi:10.1074/jbc.275.12.8952"
65,Spermidine synthase,SPDS,PF3D7_1129000,Yes,Yes,"Cyclohexylamine [1]
Compound 9 [2]","[1] Becker, John V W et al. “Plasmodium falciparum spermidine synthase inhibition results in unique perturbation-specific effects observed on transcript, protein and metabolite levels.” BMC genomics vol. 11 235. 12 Apr. 2010, doi:10.1186/1471-2164-11-235
[2] Burger, Pieter B et al. “A novel inhibitor of Plasmodium falciparum spermidine synthase: a twist in the tail.” Malaria journal vol. 14 54. 5 Feb. 2015, doi:10.1186/s12936-015-0572-z
Jacobsson, Micael et al. “Identification of Plasmodium falciparum spermidine synthase active site binders through structure-based virtual screening.” Journal of medicinal chemistry vol. 51,9 (2008): 2777-86. doi:10.1021/jm7016144"
66,Glycogen synthase kinase 3-beta,GSK3beta,PF3D7_0312400,Yes,Yes,"3,6-Diamino-4-(2-halophenyl)-2-benzoylthieno[2,3-b]pyridine-5-carbonitriles [1]
Compound 5k, 5m, 5p, 5r, 5s [2]","[1] Fugel, Wiebke et al. “3,6-Diamino-4-(2-halophenyl)-2-benzoylthieno[2,3-b]pyridine-5-carbonitriles are selective inhibitors of Plasmodium falciparum glycogen synthase kinase-3.” Journal of medicinal chemistry vol. 56,1 (2013): 264-75. doi:10.1021/jm301575n
[2] Moolman, Chantalle et al. “Exploration of benzofuran-based compounds as potent and selective Plasmodium falciparum glycogen synthase kinase-3 (PfGSK-3) inhibitors.” Bioorganic chemistry vol. 112 (2021): 104839. doi:10.1016/j.bioorg.2021.104839
Alder, Arne et al. “Functional inactivation of Plasmodium falciparum glycogen synthase kinase GSK3 modulates erythrocyte invasion and blocks gametocyte maturation.” The Journal of biological chemistry vol. 298,9 (2022): 102360. doi:10.1016/j.jbc.2022.102360
Droucheau, Eliane et al. “Plasmodium falciparum glycogen synthase kinase-3: molecular model, expression, intracellular localisation and selective inhibitors.” Biochimica et biophysica acta vol. 1697,1-2 (2004): 181-96. doi:10.1016/j.bbapap.2003.11.023"
67,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,PF3D7_1462800,Yes,Yes,"Compound 1c [1]
Compound 12 [2]
Dihydroxyacetone [3]*","[1] Cullia, Gregorio et al. “Covalent Inhibitors of Plasmodium falciparum Glyceraldehyde 3-Phosphate Dehydrogenase with Antimalarial Activity in Vitro.” ACS medicinal chemistry letters vol. 10,4 590-595. 20 Feb. 2019, doi:10.1021/acsmedchemlett.8b00592
[2] Galbiati, Andrea et al. “Development of Potent 3-Br-isoxazoline-Based Antimalarial and Antileishmanial Compounds.” ACS medicinal chemistry letters vol. 12,11 1726-1732. 13 Oct. 2021, doi:10.1021/acsmedchemlett.1c00354
[3] Pavlovic-Djuranovic, Slavica et al. “Dihydroxyacetone and methylglyoxal as permeants of the Plasmodium aquaglyceroporin inhibit parasite proliferation.” Biochimica et biophysica acta vol. 1758,8 (2006): 1012-7. doi:10.1016/j.bbamem.2005.12.002"
68,Hypoxanthine-guanine phosphoribosyltransferase,HGPRT / HGXPRT,PF3D7_1012400,Yes,Yes,"Compounds 13a, 13b [1]
Compound 28 [2]
K859, KZD60, KZD70 [3]","[1] Frydrych, Jan et al. “Nucleotide analogues containing a pyrrolidine, piperidine or piperazine ring: Synthesis and evaluation of inhibition of plasmodial and human 6-oxopurine phosphoribosyltransferases and in vitro antimalarial activity.” European journal of medicinal chemistry vol. 219 (2021): 113416. doi:10.1016/j.ejmech.2021.113416
[2] Špaček, Petr et al. “Synthesis and Evaluation of Asymmetric Acyclic Nucleoside Bisphosphonates as Inhibitors of Plasmodium falciparum and Human Hypoxanthine-Guanine-(Xanthine) Phosphoribosyltransferase.” Journal of medicinal chemistry vol. 60,17 (2017): 7539-7554. doi:10.1021/acs.jmedchem.7b00926
[3] Masia, Kgaugelo J et al. “Antiplasmodial potential of compounds isolated from Ziziphus mucronata and their binding to Plasmodium falciparum HGXPRT using biophysical and molecular docking studies.” Naunyn-Schmiedeberg's archives of pharmacology vol. 398,5 (2025): 5453-5463. doi:10.1007/s00210-024-03611-9
Hazleton, Keith Z et al. “Acyclic immucillin phosphonates: second-generation inhibitors of Plasmodium falciparum hypoxanthine-guanine-xanthine phosphoribosyltransferase.” Chemistry & biology vol. 19,6 (2012): 721-30. doi:10.1016/j.chembiol.2012.04.012"
69,NIMA related kinase 1,NEK1,PF3D7_1228300,Yes,Yes,"Hesperadin [1]
Xestoquinone [2]
Alisiaquinones A [3]
Compound 4a [4]","[1] Morahan, Belinda J et al. “Human Aurora kinase inhibitor Hesperadin reveals epistatic interaction between Plasmodium falciparum PfArk1 and PfNek1 kinases.” Communications biology vol. 3,1 701. 20 Nov. 2020, doi:10.1038/s42003-020-01424-z
[2] Laurent, Dominique et al. “Antimalarial potential of xestoquinone, a protein kinase inhibitor isolated from a Vanuatu marine sponge Xestospongia sp.” Bioorganic & medicinal chemistry vol. 14,13 (2006): 4477-82. doi:10.1016/j.bmc.2006.02.026
[3] Desoubzdanne, Denis et al. “Alisiaquinones and alisiaquinol, dual inhibitors of Plasmodium falciparum enzyme targets from a New Caledonian deep water sponge.” Journal of natural products vol. 71,7 (2008): 1189-92. doi:10.1021/np8000909
[4] Lebouvier, Nicolas et al. “Antiplasmodial activities of homogentisic acid derivative protein kinase inhibitors isolated from a Vanuatu marine sponge Pseudoceratina sp.” Marine drugs vol. 7,4 640-53. 23 Nov. 2009, doi:10.3390/md7040640"
70,Protein kinase 6,PK6,PF3D7_1337100,Yes,Yes,"Roscovitine [1]
Ki8751 [2]
Compounds 67, 79 [3]","[1] Bracchi-Ricard, V et al. “PfPK6, a novel cyclin-dependent kinase/mitogen-activated protein kinase-related protein kinase from Plasmodium falciparum.” The Biochemical journal vol. 347 Pt 1,Pt 1 (2000): 255-63. 
[2,3] Ong, Han Wee et al. “Discovery of potent Plasmodium falciparum protein kinase 6 (PfPK6) inhibitors with a type II inhibitor pharmacophore.” European journal of medicinal chemistry vol. 249 (2023): 115043. doi:10.1016/j.ejmech.2022.115043
Galal, Kareem A et al. “Identification of Novel 2,4,5-Trisubstituted Pyrimidines as Potent Dual Inhibitors of Plasmodial PfGSK3/PfPK6 with Activity against Blood Stage Parasites In Vitro.” Journal of medicinal chemistry vol. 65,19 (2022): 13172-13197. doi:10.1021/acs.jmedchem.2c00996"
71,Malate dehydrogenase,MDH,PF3D7_0618500,Yes,Yes,"4PA [1]
Compound 5, 7 [2]*
Gossypol [3]*","[1] Reyes Romero, Atilio et al. “A fragment-based approach identifies an allosteric pocket that impacts malate dehydrogenase activity.” Communications biology vol. 4,1 949. 10 Aug. 2021, doi:10.1038/s42003-021-02442-1
*[2] Choi, Seoung-ryoung et al. “Design, synthesis, and biological evaluation of Plasmodium falciparum lactate dehydrogenase inhibitors.” Journal of medicinal chemistry vol. 50,16 (2007): 3841-50. doi:10.1021/jm070336k
*[3] Tripathi, Abhai K et al. “An alpha-proteobacterial type malate dehydrogenase may complement LDH function in Plasmodium falciparum. Cloning and biochemical characterization of the enzyme.” European journal of biochemistry vol. 271,17 (2004): 3488-502. doi:10.1111/j.1432-1033.2004.04281.x
Kayamba, Francis et al. “Lactate dehydrogenase and malate dehydrogenase: Potential antiparasitic targets for drug development studies.” Bioorganic & medicinal chemistry vol. 50 (2021): 116458. doi:10.1016/j.bmc.2021.116458"
72,Malate:quinone oxidoreductase,MQO,PF3D7_0616800,Yes,Yes,"Nornidulin [1]
MMV688179 [2] 
MMV688271 [3]
MMV690028 [4]
MMV690027 [5]
Compound 1 [6]
Ferulenol [7]","[1] Cahyono, Alfian Wika et al. “Nornidulin, A New Inhibitor of Plasmodium falciparum Malate: Quinone Oxidoreductase (PfMQO) from Indonesian Aspergillus sp. BioMCC f.T.8501.” Pharmaceuticals (Basel, Switzerland) vol. 16,2 268. 10 Feb. 2023, doi:10.3390/ph16020268
[2,3,4,5] Wang, Xinying et al. “Identification of Plasmodium falciparum Mitochondrial Malate: Quinone Oxidoreductase Inhibitors from the Pathogen Box.” Genes vol. 10,6 471. 21 Jun. 2019, doi:10.3390/genes10060471
[6] Hidayati, Agriana Rosmalina et al. “Effect of geranylated dihydrochalcone from Artocarpus altilis leaves extract on Plasmodium falciparum ultrastructural changes and mitochondrial malate: Quinone oxidoreductase.” International journal for parasitology. Drugs and drug resistance vol. 21 (2023): 40-50. doi:10.1016/j.ijpddr.2022.12.001
[7] Hartuti, Endah Dwi et al. “Biochemical studies of membrane bound Plasmodium falciparum mitochondrial L-malate:quinone oxidoreductase, a potential drug target.” Biochimica et biophysica acta. Bioenergetics vol. 1859,3 (2018): 191-200. doi:10.1016/j.bbabio.2017.12.004"
73,S-adenosylmethionine decarboxylase/ornithine decarboxylase,AdoMetDC/ODC,PF3D7_1033100,Yes,Yes,"Genz-644131 [1]
CGP52622A [2]
CGP54619A [3]
Alpha-difluoromethylornithine [4]
CGP 40215A [5]","[1] le Roux, Dina et al. “Novel S-adenosyl-L-methionine decarboxylase inhibitors as potent antiproliferative agents against intraerythrocytic Plasmodium falciparum parasites.” International journal for parasitology. Drugs and drug resistance vol. 4,1 28-36. 5 Dec. 2013, doi:10.1016/j.ijpddr.2013.11.003
[2,3] Krause, T et al. “The ornithine decarboxylase domain of the bifunctional ornithine decarboxylase/S-adenosylmethionine decarboxylase of Plasmodium falciparum: recombinant expression and catalytic properties of two different constructs.” The Biochemical journal vol. 352 Pt 2,Pt 2 (2000): 287-92.
[4] Clark, Katherine et al. “Transcriptional responses of Plasmodium falciparum to alpha-difluoromethylornithine-induced polyamine depletion.” Biological chemistry vol. 389,2 (2008): 111-25. doi:10.1515/BC.2008.014
[5] Das Gupta, Robin et al. “3-Aminooxy-1-aminopropane and derivatives have an antiproliferative effect on cultured Plasmodium falciparum by decreasing intracellular polyamine concentrations.” Antimicrobial agents and chemotherapy vol. 49,7 (2005): 2857-64. doi:10.1128/AAC.49.7.2857-2864.2005
Hart, Robert J et al. “Plasmodium AdoMetDC/ODC bifunctional enzyme is essential for male sexual stage development and mosquito transmission.” Biology open vol. 5,8 1022-9. 15 Aug. 2016, doi:10.1242/bio.016352
Blavid, Robert et al. “Down-regulation of hypusine biosynthesis in Plasmodium by inhibition of S-adenosyl-methionine-decarboxylase.” Amino acids vol. 38,2 (2010): 461-9. doi:10.1007/s00726-009-0405-x
Müller, S et al. “In the human malaria parasite Plasmodium falciparum, polyamines are synthesized by a bifunctional ornithine decarboxylase, S-adenosylmethionine decarboxylase.” The Journal of biological chemistry vol. 275,11 (2000): 8097-102. doi:10.1074/jbc.275.11.8097"
74,Deoxyhypusine hydroxylase,DOHH / DHH, PF3D7_1302600,Yes,Yes,"DHH1 [1]
MMV007384 [2]","[1] Saeftel M, Sarite RS, Njuguna T, Holzgrabe U, Ulmer D, Hoerauf A, Kaiser A. Piperidones with activity against Plasmodium falciparum. Parasitol Res. 2006 Aug;99(3):281-6. doi: 10.1007/s00436-006-0173-4. Epub 2006 Mar 21. PMID: 16550432.
[2] von Koschitzky, Imke et al. “New insights into novel inhibitors against deoxyhypusine hydroxylase from plasmodium falciparum: compounds with an iron chelating potential.” Amino acids vol. 47,6 (2015): 1155-66. doi:10.1007/s00726-015-1943-z
Kerscher B, Nzukou E, Kaiser A. Assessment of deoxyhypusine hydroxylase as a putative, novel drug target. Amino Acids. 2010 Feb;38(2):471-7. doi: 10.1007/s00726-009-0406-9. Epub 2009 Dec 3. PMID: 19956997."
75,M18 aspartyl aminopeptidase,M18AAP,PF3D7_0932300,Yes,Yes,"ML369 [1]
CID 6852389, CID 23724194 [2]","[1] Schoenen, Frank J., et al. “Inhibitors of the Plasmodium falciparum M18 Aspartyl Aminopeptidase.” Probe Reports from the NIH Molecular Libraries Program, National Center for Biotechnology Information (US), 12 April 2013.
[2] Spicer, Timothy et al. “Identification of Potent and Selective Inhibitors of the Plasmodium falciparum M18 Aspartyl Aminopeptidase (PfM18AAP) of Human Malaria via High-Throughput Screening.” Journal of biomolecular screening vol. 19,7 (2014): 1107-15. doi:10.1177/1087057114525852
Teuscher, Franka et al. “The M18 aspartyl aminopeptidase of the human malaria parasite Plasmodium falciparum.” The Journal of biological chemistry vol. 282,42 (2007): 30817-26. doi:10.1074/jbc.M704938200"
76,"Casein Kinase 2, alpha",CK2alpha,PF3D7_1108400,Yes,Yes,"Compound 542 [1]
CX4945 [2]*
Quinalizarin [3]*","[1] Tomaz, Kaira C P et al. “Identification of potential inhibitors of casein kinase 2 alpha of Plasmodium falciparum with potent in vitro activity.” Antimicrobial agents and chemotherapy vol. 67,11 (2023): e0058923. doi:10.1128/aac.00589-23
[2] Ruiz-Carrillo, David et al. “The protein kinase CK2 catalytic domain from Plasmodium falciparum: crystal structure, tyrosine kinase activity and inhibition.” Scientific reports vol. 8,1 7365. 9 May. 2018, doi:10.1038/s41598-018-25738-5
[3] Graciotti, Michele et al. “Malaria protein kinase CK2 (PfCK2) shows novel mechanisms of regulation.” PloS one vol. 9,3 e85391. 21 Mar. 2014, doi:10.1371/journal.pone.0085391
Hitz, Eva et al. “The catalytic subunit of Plasmodium falciparum casein kinase 2 is essential for gametocytogenesis.” Communications biology vol. 4,1 336. 12 Mar. 2021, doi:10.1038/s42003-021-01873-0
Holland, Zoë et al. “Functional analysis of protein kinase CK2 of the human malaria parasite Plasmodium falciparum.” Eukaryotic cell vol. 8,3 (2009): 388-97. doi:10.1128/EC.00334-08"
