UniProtID,N_Pockets,Score,Probability,Gene,Length,Protein
Q8I5V5,7,27.31,0.92,PF3D7_1209400,792.0,Probable cytosolic iron-sulfur protein assembly protein CIAO1 homolog
Q8I5V6,2,1.59,0.025,PF3D7_1209200,108.0,"U6 snRNA-associated Sm-like protein LSm7, putative"
Q8I5V7,7,11.0,0.59,PF3D7_1209100,849.0,C2H2-type domain-containing protein
Q8I5V8,0,0.0,0.0,PF3D7_1209000,167.0,"Mago-binding protein, putative"
Q8I5V9,13,12.9,0.667,PF3D7_1208900,1442.0,"Protein phosphatase PPM11, putative (EC 3.1.3.16)"
Q8I5W0,7,3.52,0.129,PF3D7_1208800,1180.0,"Zinc finger protein, putative"
Q8I5W1,0,0.0,0.0,PF3D7_1208700,398.0,DUF4460 domain-containing protein
Q8I5W2,0,0.0,0.0,PF3D7_1208600,75.0,Mitochondrial import inner membrane translocase subunit
Q8I5W3,36,24.12,0.896,PF3D7_1208500,1753.0,Uncharacterized protein
Q8I5W4,16,5.8,0.283,PF3D7_1208400,1564.0,"Amino acid transporter, putative"
Q8I5W7,1,2.46,0.067,PF3D7_1208000,127.0,"Apicoplast ribosomal protein L29, putative"
Q8I5W9,0,0.0,0.0,PF3D7_1207800,968.0,Uncharacterized protein
Q8I5X0,1,1.96,0.041,PF3D7_1207500,182.0,"RNA-binding protein, putative"
Q8I5X1,2,10.01,0.539,PF3D7_1207400,395.0,Uncharacterized protein
Q8I5X2,1,0.93,0.004,PF3D7_1207300,109.0,"LIMP protein, putative"
Q8I5X4,6,3.29,0.115,PF3D7_1207100,840.0,"Small subunit rRNA processing factor, putative"
Q8I5X5,1,1.04,0.006,PF3D7_1207000,2612.0,Uncharacterized protein
Q8I5X7,13,19.39,0.839,PF3D7_1206800,727.0,Uncharacterized protein
Q8I5X8,2,2.38,0.063,PF3D7_1206700,565.0,"Eukaryotic translation initiation factor 5, putative"
Q8I5X9,11,8.55,0.456,PF3D7_1206600,1450.0,DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)
Q8I5Y0,0,0.0,0.0,PF3D7_1206500,651.0,"Tat binding protein 1(TBP-1)-interacting protein, putative"
Q8I5Y1,6,4.41,0.186,PF3D7_1206400,346.0,"Rhodanese like protein, putative (EC 2.8.1.1)"
Q8I5Y3,12,5.64,0.272,PF3D7_1206200,984.0,Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8)
Q8I5Y5,3,3.88,0.152,PF3D7_1206000,304.0,Shewanella-like protein phosphatase 2 (EC 3.1.3.16)
Q8I5Y6,10,16.26,0.775,PF3D7_1205900,1082.0,DUF726-domain-containing protein
Q8I5Y7,3,4.7,0.205,PF3D7_1205800,2284.0,"High mobility group protein B3, putative"
Q8I5Y8,4,12.58,0.655,PF3D7_1205700,322.0,hydroxyacylglutathione hydrolase (EC 3.1.2.6) (Glyoxalase II)
Q8I5Y9,3,2.13,0.049,PF3D7_1205600,333.0,"Tetratricopeptide repeat protein, putative"
Q8I5Z0,10,3.63,0.136,PF3D7_1205500,1785.0,E3 ubiquitin-protein ligase CHFR (EC 2.3.2.27)
Q8I5Z1,13,11.22,0.601,PF3D7_1205400,1085.0,"Kelch domain-containing protein, putative"
Q8I5Z3,3,4.8,0.213,PF3D7_1205200,338.0,"HAD domain ookinete protein, putative"
Q8I5Z4,7,10.04,0.54,PF3D7_1205100,578.0,O-phosphoseryl-tRNA(Sec) selenium transferase (EC 2.9.1.2) (Selenocysteine synthase) (Selenocysteinyl-tRNA(Sec) synthase) (Sep-tRNA:Sec-tRNA synthase)
Q8I5Z6,0,0.0,0.0,PF3D7_1204900,130.0,Uncharacterized protein
Q8I5Z8,1,2.5,0.069,PF3D7_1204700,120.0,Ribosomal protein/NADH dehydrogenase domain-containing protein
Q8I5Z9,2,6.83,0.35,PF3D7_1204600,326.0,"Cytidine deaminase, putative (EC 3.5.4.5)"
Q8I600,1,2.71,0.081,PF3D7_1204500,279.0,Uncharacterized protein
Q8I601,5,10.6,0.569,PF3D7_1204400,349.0,"Sexual stage-specific protein G37, putative"
Q8I603,0,0.0,0.0,PF3D7_1204300,161.0,Eukaryotic translation initiation factor 5A (eIF-5A)
Q8I604,9,55.09,0.984,PF3D7_1204200,629.0,DNA recombination and repair protein Rad51-like C-terminal domain-containing protein
Q8I605,5,9.05,0.485,PF3D7_1204100,1089.0,Uncharacterized protein
Q8I607,0,0.0,0.0,PF3D7_1203900,147.0,Ubiquitin-conjugating enzyme E2 (EC 2.3.2.23)
Q8I608,3,7.32,0.382,PF3D7_1203700,347.0,Nucleosome assembly protein
Q8I609,2,5.38,0.255,PF3D7_1203600,184.0,Holocytochrome c-type synthase (EC 4.4.1.17)
Q8I610,11,3.87,0.151,PF3D7_1203500,556.0,Threonylcarbamoyl-AMP synthase (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase)
Q8I611,23,66.25,0.99,PF3D7_1203400,1250.0,"Major facilitator superfamily domain-containing protein, putative"
Q8I612,15,24.71,0.9,PF3D7_1203300,992.0,"TBCC domain-containing protein, putative"
Q8I613,1,1.57,0.024,PF3D7_1203200,104.0,Signal recognition particle 14 kDa protein (SRP14)
Q8I614,0,0.0,0.0,PF3D7_1203100,170.0,Uncharacterized protein
Q8I616,0,0.0,0.0,PF3D7_1202900,97.0,High mobility group protein B1
Q8I617,0,0.0,0.0,PF3D7_1202800,96.0,"DNA/RNA-binding protein, putative"
Q8I618,4,9.22,0.494,PF3D7_1202700,412.0,AATF leucine zipper-containing domain-containing protein
Q8I621,1,6.27,0.314,PF3D7_1202400,226.0,Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)
Q8I623,3,29.26,0.93,PF3D7_1202200,324.0,Mitochondrial phosphate carrier protein
Q8I624,4,12.35,0.648,PF3D7_1202100,401.0,"SRAP domain-containing protein, putative"
Q8I626,0,0.0,0.0,PF3D7_1201900,207.0,Uncharacterized protein
Q8I627,0,0.0,0.0,PF3D7_1201800,218.0,"Cytochrome c oxidase assembly protein COX19, putative"
Q8I628,3,13.27,0.68,PF3D7_1201700,247.0,MARVEL domain-containing protein
Q8I629,7,15.69,0.759,PF3D7_1201600,347.0,NIMA related kinase 3 (EC 2.7.11.1)
Q8I630,5,4.75,0.209,PF3D7_1201500,497.0,"GPN-loop GTPase, putative"
Q8I631,1,4.33,0.18,PF3D7_1201400,1129.0,Uncharacterized protein
Q8I632,0,0.0,0.0,PF3D7_1201300,106.0,Liver stage associated protein 1
Q8I633,3,3.56,0.132,PF3D7_1201200,221.0,Plasmodium RESA N-terminal domain-containing protein
Q8I634,8,20.21,0.852,PF3D7_1201100,900.0,RESA-like protein with PHIST and DnaJ domains
Q8I635,7,6.83,0.35,PF3D7_1201000,653.0,Plasmodium RESA N-terminal domain-containing protein
Q8I636,9,10.56,0.568,PF3D7_1200900,383.0,Plasmodium RESA N-terminal domain-containing protein
Q8I637,11,26.0,0.91,PF3D7_1200800,567.0,non-specific serine/threonine protein kinase (EC 2.7.11.1)
Q8I638,11,20.4,0.854,PF3D7_1200700,926.0,Acyl-CoA synthetase (EC 6.2.1.3)
Q8I641,0,0.0,0.0,PF3D7_1200300,345.0,Rifin
Q8I642,0,0.0,0.0,PF3D7_1200200,378.0,Rifin
Q8I643,27,12.76,0.661,PF3D7_1200100,2178.0,"Erythrocyte membrane protein 1, PfEMP1"
Q8I651,0,0.0,0.0,PF3D7_0221800,62.0,Plasmodium falciparum erythrocyte membrane protein 1 acidic terminal segment domain-containing protein
Q8I652,3,4.61,0.199,PF3D7_0221200,206.0,Uncharacterized protein
Q8I653,2,7.14,0.371,PF3D7_0220700,252.0,Exported protein (Hyp9)
Q8I654,1,2.38,0.063,PF3D7_0220300,212.0,Variable surface protein
Q8I655,0,0.0,0.0,PF3D7_0219400,101.0,"Ribosome associated membrane protein RAMP4, putative"
Q8I656,0,0.0,0.0,PF3D7_0219300,139.0,Small integral membrane protein 4
Q8I657,2,4.34,0.181,PF3D7_0217700,234.0,"E2F-associated phosphoprotein, putative"
Q8I660,1,1.46,0.02,PF3D7_0215100,298.0,RING-type E3 ubiquitin transferase (EC 2.3.2.27)
Q8I661,4,2.27,0.056,PF3D7_0211300,292.0,"Ubiquinol-cytochrome-c reductase complex assembly factor 1, putative"
Q8I662,0,0.0,0.0,PF3D7_0208700,222.0,RNA polymerase Rpb7-like N-terminal domain-containing protein
Q8I665,5,7.07,0.366,PF3D7_0204200,276.0,Plasmodium RESA N-terminal domain-containing protein
Q8I666,4,5.4,0.256,PF3D7_0203800,542.0,Uncharacterized protein
Q8I668,0,0.0,0.0,PF3D7_0203400,91.0,Microtubule-associated protein Jupiter
Q8I669,3,2.53,0.071,PF3D7_0202200,290.0,EMP1-trafficking protein
Q8I670,1,0.64,0.001,PF3D7_0201100,70.0,Plasmodium RESA N-terminal domain-containing protein
Q8I6S4,1,4.48,0.191,PF3D7_0804800,217.0,Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)
Q8I6S5,15,12.55,0.654,PF3D7_0820700,1038.0,2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)
Q8I6S7,1,0.97,0.005,PF3D7_0702600,87.0,"Chitinase, truncated"
Q8I6T0,1,30.51,0.935,PF3D7_1365500,406.0,"Aminomethyltransferase, mitochondrial, putative (EC 2.1.2.10)"
Q8I6T1,6,9.62,0.518,PF3D7_1346700,448.0,Gametocyte surface protein P45/48
Q8I6T2,5,15.94,0.766,PF3D7_1345700,468.0,Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)
Q8I6T3,3,3.97,0.158,PF3D7_1328100,270.0,Proteasome subunit beta
Q8I6T4,2,2.44,0.066,PF3D7_1323000,230.0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59)
Q8I6T5,0,0.0,0.0,PF3D7_1314500,206.0,"Transmembrane emp24 domain-containing protein, putative"
Q8I6T6,2,43.74,0.971,PF3D7_1311700,159.0,"Cytochrome c, putative"
Q8I6T7,3,6.15,0.306,PF3D7_1311300,311.0,ATP synthase subunit gamma
Q8I6T8,0,0.0,0.0,PF3D7_1310900,303.0,"Mitochondrial ribosomal protein S15, putative"
Q8I6U4,4,4.07,0.163,PF3D7_1115700,484.0,Falcipain-2a (EC 3.4.22.-) (Cysteine proteinase falcipain-2a) (Falcipain-2)
Q8I6U5,6,15.7,0.759,PF3D7_1115300,482.0,Falcipain-2b (EC 3.4.22.-) (Cysteine proteinase falcipain-2b) (Falcipain-2')
Q8I6U7,5,15.49,0.754,PF3D7_1022500,563.0,Citrate synthase
Q8I6U9,3,20.95,0.864,PF3D7_1462700,394.0,"Cytochrome c1, putative"
Q8I6V0,5,3.1,0.104,PF3D7_1458000,569.0,Falcipain-1
Q8I6V1,0,0.0,0.0,PF3D7_1447300,112.0,"Mitochondrial ribosomal protein S14, putative"
Q8I6V2,3,22.96,0.885,PF3D7_1430900,172.0,Cytochrome c oxidase polypeptide II
Q8I6V3,4,21.17,0.866,PF3D7_1408000,453.0,Plasmepsin II (EC 3.4.23.39) (Plasmepsin 2)
Q8I6Z1,13,12.8,0.663,PF3D7_0731600,811.0,Acyl-CoA synthetase (EC 6.2.1.3)
Q8I6Z2,6,6.07,0.3,PF3D7_0729500,760.0,"mRNA (N6-adenosine)-methyltransferase, putative (EC 2.1.1.62)"
Q8I6Z3,1,1.8,0.034,PF3D7_0722100,403.0,Protein pelota homolog
Q8I6Z4,11,8.27,0.441,PF3D7_1368200,619.0,"ABC transporter E family member 1, putative"
Q8I6Z5,6,16.84,0.789,PF3D7_1323500,590.0,Plasmepsin V (PfPMV) (EC 3.4.23.-) (Plasmepsin 5)
Q8I6Z7,17,36.12,0.954,PF3D7_1321500,1139.0,"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase beta (EC 3.1.4.35) (EC 3.1.4.53)"
Q8I6Z8,9,5.51,0.263,PF3D7_1317000,640.0,"U4/U6.U5 tri-snRNP-associated protein 2, putative"
Q8I6Z9,3,13.75,0.698,PF3D7_1312000,403.0,Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)
Q8I700,1,2.32,0.059,PF3D7_1309500,209.0,H/ACA ribonucleoprotein complex subunit
Q8I701,2,26.7,0.916,PF3D7_1302600,411.0,Deoxyhypusine hydroxylase (DOHH) (EC 1.14.99.29) (Deoxyhypusine dioxygenase) (Deoxyhypusine monooxygenase)
Q8I713,0,0.0,0.0,PF3D7_1109900,112.0,60S ribosomal protein L36
Q8I714,3,20.74,0.861,PF3D7_1105500,171.0,Centrin-4
Q8I715,13,14.73,0.732,PF3D7_1018000,560.0,tRNA pseudouridine(55) synthase (EC 5.4.99.25)
Q8I716,10,21.22,0.867,PF3D7_1005000,749.0,methionine--tRNA ligase (EC 6.1.1.10)
Q8I717,3,6.22,0.311,PF3D7_1471000,467.0,"RNA 3'-terminal phosphate cyclase-like protein, putative"
Q8I718,1,4.02,0.16,PF3D7_1454100,97.0,tRNA-intron lyase (EC 4.6.1.16)
Q8I719,10,23.61,0.89,PF3D7_1436600,853.0,cGMP-dependent protein kinase (EC 2.7.11.12) (PfPKG)
Q8I720,5,12.77,0.661,PF3D7_1414600,520.0,mRNA guanylyltransferase (EC 2.7.7.50)
Q8IAK1,24,20.33,0.853,PF3D7_0800100,2120.0,"Erythrocyte membrane protein 1, PfEMP1"
Q8IAK4,0,0.0,0.0,PF3D7_0800500,375.0,Rifin
Q8IAK5,4,2.91,0.093,PF3D7_0800600,291.0,Plasmodium RESA N-terminal domain-containing protein
Q8IAK7,5,17.48,0.803,PF3D7_0800800,209.0,Uncharacterized protein
Q8IAK9,5,7.59,0.4,PF3D7_0801000,1219.0,Plasmodium RESA N-terminal domain-containing protein
Q8IAL0,0,0.0,0.0,PF3D7_0801300,290.0,von Willebrand factor A domain-related protein
Q8IAL3,4,11.53,0.614,PF3D7_0801500,549.0,"Nucleolar protein 10, putative"
Q8IAL4,2,2.06,0.046,PF3D7_0801600,125.0,Uncharacterized protein
Q8IAL6,11,12.16,0.641,PF3D7_0801800,1011.0,"Mannose-6-phosphate isomerase, putative (EC 5.3.1.8)"
Q8IAM0,22,10.55,0.567,PF3D7_0802000,1397.0,"Glutamate dehydrogenase, putative (EC 1.4.1.2)"
Q8IAM1,5,7.81,0.414,PF3D7_0802100,2577.0,"AP2 domain transcription factor, putative"
Q8IAM2,1,1.58,0.025,PF3D7_0802200,220.0,1-cys peroxiredoxin (EC 1.11.1.15)
Q8IAM3,14,27.45,0.921,PF3D7_0802300,1121.0,"Periodic tryptophan protein 2, putative"
Q8IAM4,7,15.86,0.764,PF3D7_0802400,714.0,Uncharacterized protein
Q8IAM7,7,4.02,0.161,PF3D7_0802700,410.0,Uncharacterized protein
Q8IAM8,6,12.38,0.649,PF3D7_0802800,604.0,Serine/threonine-protein phosphatase (EC 3.1.3.16)
Q8IAN0,1,4.89,0.219,PF3D7_0803000,677.0,Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)
Q8IAN1,0,0.0,0.0,PF3D7_0803100,1245.0,"U3 small nucleolar RNA-associated protein 14, putative"
Q8IAN2,3,6.78,0.347,PF3D7_0803200,728.0,"Filament assembling protein, putative"
Q8IAN3,5,10.44,0.561,PF3D7_0803300,365.0,"Mitogen-activated protein kinase organizer 1, putative"
Q8IAN4,14,11.73,0.623,PF3D7_0803400,1239.0,"DNA repair and recombination protein RAD54, putative (EC 3.6.4.12)"
Q8IAN5,8,17.73,0.807,PF3D7_0803500,1467.0,"AAA family ATPase, putative"
Q8IAN7,2,17.46,0.802,PF3D7_0803700,452.0,Tubulin gamma chain
Q8IAN8,6,4.66,0.203,PF3D7_0804000,802.0,Splicing factor Cactin
Q8IAN9,5,2.0,0.043,PF3D7_0804300,890.0,"Zinc finger protein, putative"
Q8IAP0,8,14.28,0.717,PF3D7_0804400,740.0,"Methionine aminopeptidase 1c, putative (EC 3.4.11.18)"
Q8IAP4,1,1.14,0.009,PF3D7_0804900,491.0,"GTPase-activating protein, putative"
Q8IAP6,1,1.36,0.016,PF3D7_0805100,553.0,Uncharacterized protein
Q8IAP7,1,7.46,0.391,PF3D7_0805200,93.0,"Gamete release protein, putative"
Q8IAP8,1,1.21,0.011,PF3D7_0805300,1252.0,C2H2-type domain-containing protein
Q8IAQ4,1,2.86,0.09,PF3D7_0806400,177.0,UDP-N-acetylglucosamine transferase subunit ALG13 (EC 2.4.1.141)
Q8IAQ5,12,21.99,0.876,PF3D7_0806500,675.0,"DnaJ protein, putative"
Q8IAQ8,12,13.87,0.702,PF3D7_0806800,1053.0,"V-type proton ATPase subunit a, putative (EC 3.6.3.14)"
Q8IAR1,12,5.58,0.267,PF3D7_0807100,1321.0,DNA helicase PSH3 (EC 3.6.4.12)
Q8IAR3,4,1.95,0.041,PF3D7_0807500,260.0,"Proteasome subunit alpha type-6, putative (EC 3.4.25.1)"
Q8IAR5,9,11.56,0.616,PF3D7_0807700,870.0,Serine protease DegP homolog (EC 3.4.21.-)
Q8IAR6,1,3.22,0.111,PF3D7_0807800,481.0,"26S proteasome regulatory subunit RPN10, putative"
Q8IAR7,1,18.32,0.82,PF3D7_0807900,373.0,tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase)
Q8IAS0,3,12.83,0.664,PF3D7_0808200,573.0,Plasmepsin X (PfPMX) (EC 3.4.23.-) (Plasmepsin 10)
Q8IAS1,0,0.0,0.0,PF3D7_0808300,238.0,"Ubiquitin regulatory protein, putative"
Q8IAS3,24,10.96,0.588,PF3D7_0808600,2265.0,"Erythrocyte membrane protein 1, PfEMP1"
Q8IAS4,31,20.98,0.864,PF3D7_0808700,2231.0,"Erythrocyte membrane protein 1, PfEMP1"
Q8IAS5,1,1.18,0.01,PF3D7_0808800,388.0,Rifin
Q8IAS6,0,0.0,0.0,PF3D7_0808900,332.0,Rifin
Q8IAS7,23,12.31,0.646,PF3D7_0809100,2109.0,"Erythrocyte membrane protein 1, PfEMP1"
Q8IAS8,15,9.77,0.525,PF3D7_0809200,1316.0,histone acetyltransferase (EC 2.3.1.48)
Q8IAS9,4,1.93,0.039,PF3D7_0809400,850.0,Uncharacterized protein
Q8IAT2,6,22.41,0.88,PF3D7_0809700,520.0,RuvB-like helicase (EC 3.6.4.12)
Q8IAT4,14,27.68,0.922,PF3D7_0809900,1259.0,"JmjC domain-containing protein, putative"
Q8IAT5,0,0.0,0.0,PF3D7_0810000,90.0,"Acyl-CoA binding protein, putative"
Q8IAT7,15,28.66,0.926,PF3D7_0810200,940.0,"ABC1 family, putative"
Q8IAU0,2,11.61,0.618,PF3D7_0810500,303.0,protein-serine/threonine phosphatase (EC 3.1.3.16)
Q8IAU1,6,18.76,0.829,PF3D7_0810600,941.0,RNA helicase (EC 3.6.4.13)
Q8IAU3,11,21.99,0.876,PF3D7_0810800,706.0,"Hydroxymethyldihydropterin pyrophosphokinase-dihydropteroate synthase (EC 2.5.1.15, EC 2.7.6.3)"
Q8IAU4,8,7.2,0.375,PF3D7_0810900,345.0,Uncharacterized protein
Q8IAU5,10,13.88,0.702,PF3D7_0811000,829.0,"Cullin-1, putative"
Q8IAU6,12,38.39,0.96,PF3D7_0811100,540.0,"Mitochondrial carrier protein, putative"
Q8IAU7,23,18.61,0.826,PF3D7_0811200,1133.0,ER membrane protein complex subunit 1
Q8IAV1,34,25.92,0.909,PF3D7_0811600,1210.0,Uncharacterized protein
Q8IAV2,14,21.47,0.87,PF3D7_0811700,1222.0,Uncharacterized protein
Q8IAV3,6,6.66,0.338,PF3D7_0811800,587.0,Heptatricopeptide repeat-containing protein
Q8IAV5,14,5.43,0.258,PF3D7_0812000,479.0,Uncharacterized protein
Q8IAV6,76,32.45,0.943,PF3D7_0812100,2651.0,"Proteasome activator complex subunit 4, putative"
Q8IAV9,6,8.34,0.444,PF3D7_0812300,461.0,"Sporozoite surface protein 3, putative"
Q8IAW0,2,7.08,0.367,PF3D7_0812400,545.0,Importin subunit alpha
Q8IAW1,3,3.29,0.115,PF3D7_0812500,958.0,peptidylprolyl isomerase (EC 5.2.1.8)
Q8IAW2,0,0.0,0.0,PF3D7_0812600,163.0,"Ubiquitin-conjugating enzyme E2, putative (EC 2.3.2.23)"
Q8IAW3,0,0.0,0.0,PF3D7_0812700,235.0,U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)
Q8IAW4,40,10.93,0.586,PF3D7_0812900,1567.0,Uncharacterized protein
Q8IAW6,1,1.1,0.008,PF3D7_0813100,662.0,Uncharacterized protein
Q8IAW7,1,1.14,0.009,PF3D7_0813200,313.0,Nuclear migration protein nudC (Nuclear distribution protein C homolog)
Q8IAX1,4,6.14,0.305,PF3D7_0813500,515.0,"PUB domain-containing protein, putative"
Q8IAX2,0,0.0,0.0,PF3D7_0813600,268.0,"Translation initiation factor SUI1, putative"
Q8IAX3,24,8.38,0.447,PF3D7_0813700,1419.0,ABC transporter F family member 1
Q8IAX4,1,30.98,0.937,PF3D7_0813800,357.0,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47)"
Q8IAX5,0,0.0,0.0,PF3D7_0813900,144.0,"40S ribosomal protein S16, putative"
Q8IAX6,1,1.72,0.03,PF3D7_0814000,215.0,60S ribosomal protein L13
Q8IAX8,0,0.0,0.0,PF3D7_0814200,248.0,DNA/RNA-binding protein ALBA1 (PfAlba1)
Q8IAX9,3,8.14,0.433,PF3D7_0814300,1200.0,"AAA family ATPase, putative"
Q8IAY0,11,26.52,0.914,PF3D7_0814400,679.0,"Phospholipase DDHD1, putative (EC 3.1.1.32)"
Q8IAY2,0,0.0,0.0,PF3D7_0814500,758.0,Zinc finger protein
Q8IAY3,3,4.87,0.218,PF3D7_0814600,393.0,Uncharacterized protein
Q8IAY4,0,0.0,0.0,PF3D7_0814700,306.0,Uncharacterized protein
Q8IAY6,1,3.84,0.15,PF3D7_0814900,198.0,Superoxide dismutase [Fe] (EC 1.15.1.1) (FeSOD)
Q8IAY8,8,12.71,0.659,PF3D7_0815100,975.0,"Heptatricopeptide repeat and RAP domain-containing protein, putative"
Q8IAY9,10,10.73,0.576,PF3D7_0815200,877.0,"Importin subunit beta, putative"
Q8IAZ0,15,36.73,0.956,PF3D7_0815300,1182.0,"FAD-dependent monooxygenase, putative (EC 1.14.13.8)"
Q8IAZ1,1,1.08,0.007,PF3D7_0815400,160.0,"ATP synthase-associated protein, putative"
Q8IAZ2,5,8.47,0.452,PF3D7_0815500,491.0,Plasmodium RESA N-terminal domain-containing protein
Q8IAZ3,1,3.31,0.116,PF3D7_0815600,268.0,Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4)
Q8IAZ5,4,1.51,0.022,PF3D7_0815800,1833.0,"Vacuolar protein sorting-associated protein 9, putative"
Q8IAZ6,7,33.42,0.947,PF3D7_0815900,666.0,"Dihydrolipoyl dehydrogenase, apicoplast (EC 1.8.1.4)"
Q8IAZ7,7,24.42,0.898,PF3D7_0816000,491.0,"Ribosome assembly protein RRB1, putative"
Q8IAZ8,3,4.45,0.189,PF3D7_0816100,185.0,"Phosphopantothenoylcysteine decarboxylase, putative (EC 4.1.1.36)"
Q8IAZ9,0,0.0,0.0,PF3D7_0816200,209.0,"Vacuolar protein sorting-associated protein 2, putative"
Q8IB02,0,0.0,0.0,PF3D7_0816500,172.0,"Small heat shock protein HSP20, putative"
Q8IB03,5,8.08,0.43,PF3D7_0816600,1070.0,Chaperone protein ClpB1
Q8IB05,3,4.42,0.186,PF3D7_0816800,347.0,"Meiotic recombination protein DMC1, putative"
Q8IB06,2,22.12,0.877,PF3D7_0816900,275.0,Adenylate kinase 2 (PfAK2) (EC 2.7.4.3)
Q8IB08,6,3.6,0.134,PF3D7_0817200,796.0,Uncharacterized protein
Q8IB09,4,8.99,0.481,PF3D7_0817300,2235.0,Asparagine-rich antigen
Q8IB11,1,1.95,0.041,PF3D7_0817600,962.0,Uncharacterized protein
Q8IB13,0,0.0,0.0,PF3D7_0817800,54.0,Amino acid permease/ SLC12A domain-containing protein
Q8IB14,0,0.0,0.0,PF3D7_0817900,99.0,High mobility group protein B2
Q8IB16,8,7.14,0.371,PF3D7_0818100,538.0,"Zinc finger protein, putative"
Q8IB18,1,11.02,0.591,PF3D7_0818300,560.0,Dynactin subunit 6
Q8IB20,0,0.0,0.0,PF3D7_0818500,191.0,"Zinc finger protein, putative"
Q8IB23,5,12.9,0.667,PF3D7_0818800,362.0,"U3 small nucleolar ribonucleoprotein protein IMP4, putative"
Q8IB24,8,22.55,0.882,PF3D7_0818900,677.0,Heat shock protein 70
Q8IB25,14,21.82,0.874,PF3D7_0819000,1313.0,Cleavage and polyadenylation specificity factor subunit 2 (Cleavage and polyadenylation specificity factor 100 kDa subunit)
Q8IB26,2,5.9,0.289,PF3D7_0819100,295.0,"BRIX domain, putative"
Q8IB29,7,4.95,0.224,PF3D7_0819400,654.0,Perforin-like protein 4
Q8IB31,0,0.0,0.0,PF3D7_0819600,277.0,Ubiquitin-like domain-containing protein
Q8IB33,33,26.22,0.912,PF3D7_0819800,1408.0,Uncharacterized protein
Q8IB37,5,32.58,0.944,PF3D7_0820200,661.0,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)
Q8IB38,1,2.06,0.046,PF3D7_0820300,613.0,Uncharacterized protein
Q8IB39,7,20.1,0.85,PF3D7_0820400,499.0,RAP domain-containing protein
Q8IB40,7,5.59,0.268,PF3D7_0820500,852.0,"Protein transport protein YIF1, putative"
Q8IB41,7,5.74,0.278,PF3D7_0820600,455.0,Uncharacterized protein
Q8IB42,14,12.3,0.646,PF3D7_0820800,816.0,Uncharacterized protein
Q8IB43,20,13.99,0.707,PF3D7_0820900,1576.0,Uncharacterized protein
Q8IB44,5,6.97,0.36,PF3D7_0821000,514.0,Dynamin N-terminal domain-containing protein
Q8IB46,0,0.0,0.0,PF3D7_0821200,191.0,Uncharacterized protein
Q8IB47,12,17.98,0.812,PF3D7_0821300,867.0,"ATP-dependent RNA helicase DHX36, putative (EC 3.6.4.13)"
Q8IB48,0,0.0,0.0,PF3D7_0821400,124.0,Uncharacterized protein
Q8IB49,3,3.51,0.129,PF3D7_0821500,279.0,"Ribosomal RNA small subunit methyltransferase NEP1, putative (EC 2.1.1.260)"
Q8IB50,12,16.08,0.769,PF3D7_0821600,674.0,"Polyribonucleotide 5'-hydroxyl-kinase Clp1, putative (EC 2.7.1.78)"
Q8IB51,0,0.0,0.0,PF3D7_0821700,139.0,Large ribosomal subunit protein eL22 (60S ribosomal protein L22)
Q8IB54,1,5.18,0.24,PF3D7_0822000,568.0,Large ribosomal subunit protein uL4m
Q8IB55,1,1.42,0.018,PF3D7_0822100,234.0,Mediator of RNA polymerase II transcription subunit 7
Q8IB57,0,0.0,0.0,PF3D7_0822300,83.0,Small nuclear ribonucleoprotein G (snRNP-G)
Q8IB59,2,3.47,0.126,PF3D7_0822500,199.0,Dynein axonemal light chain 1
Q8IB60,13,17.63,0.805,PF3D7_0822600,759.0,Protein transport protein SEC23
Q8IB63,9,6.77,0.345,PF3D7_0822900,1176.0,Uncharacterized protein
Q8IB64,24,24.56,0.899,PF3D7_0823000,1332.0,"Serine/threonine protein kinase VPS15, putative"
Q8IB66,2,3.41,0.123,PF3D7_0823200,286.0,"RNA-binding protein, putative"
Q8IB67,3,12.09,0.638,PF3D7_0823300,1465.0,Histone acetyltransferase GCN5
Q8IB69,0,0.0,0.0,PF3D7_0823500,502.0,"Inner membrane complex protein 1i, putative"
Q8IB70,4,9.07,0.486,PF3D7_0823600,434.0,Lipoate-protein ligase B (EC 6.3.1.20)
